BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorUptakeG,ColorFitnessPerUnitG,DoColorMetabolism,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,SmallSeedEach,1,-0.1,1,5,1,0.5,0.1,5,1,True,0.2,False,2,1000,0.001,False,5000.526,319319,510,0,186.6455,1479.474,149,0,1019.254,1479.474,706.6239,6470.235,721,0,0.1084987,0.04615076,0.01054874,0.001203968,67.91015,17990.87,7.605647,625.9218
15,0,SmallSeedEach,1,-0.1,1,5,1,0.5,0.1,5,1,True,0.2,False,2,1000,0.001,False,5000.511,322274,521,0,178.4771,1566.023,125,0,1243.623,1566.023,708.9172,5859.709,721,0,0.1049974,0.04436515,0.0120299,0.001100332,67.73415,19068.98,8.673561,572.0134
15,0,SmallSeedEach,1,-0.1,1,5,1,0.5,0.1,5,1,True,0.2,False,2,1000,0.001,False,5000.302,319687,598,0,165.2984,1376.469,73,0,1058.579,1376.469,709.5868,5695.792,721,0,0.1018682,0.05241429,0.005497138,0.000373724,65.03443,22346.21,3.963437,194.2714
15,0,SmallSeedEach,1,-0.1,1,5,1,0.8,0.1,8,1,True,0.2,False,2,1000,0.001,False,5000.504,1030743,701,18,1767.374,7.180868,701,508,1767.374,3384.683,709.1257,5533.365,721,0,0.8571035,0.003655614,0.8704621,0.003046833,609.2245,6192.694,627.6022,1583.869
15,0,SmallSeedEach,1,-0.1,1,5,1,0.8,0.1,8,1,True,0.2,False,2,1000,0.001,False,5000.647,933388,695,18,4668.297,19.27892,695,256,4668.297,1962.984,708.4549,5909.944,721,0,0.7533812,0.02438154,0.722108,0.02450185,534.1938,15766.85,520.6401,12737.08
15,0,SmallSeedEach,1,-0.1,1,5,1,0.8,0.1,8,1,True,0.2,False,2,1000,0.001,False,5000.339,902531,680,15,240.8002,7.152235,618,274,1003.609,4508.066,708.3128,6516.486,721,0,0.720615,0.01131762,0.6984601,0.01030172,510.5411,8984.264,503.5899,5355.257
15,0,SmallSeedEach,1,-0.1,1,5,2,0.5,0.1,5,1,True,0.2,False,2,1000,0.001,False,5000.923,319050,545,0,147.8677,1203.409,40,0,1087.776,1203.409,710.781,5007.028,721,0,0.07001805,0.03202929,0.001408185,4.65768E-05,43.25648,12340.02,1.015302,24.21347
15,0,SmallSeedEach,1,-0.1,1,5,2,0.5,0.1,5,1,True,0.2,False,2,1000,0.001,False,5000.988,307546,557,0,182.448,867.2181,0,9999,0,0,709.6076,5443.863,721,0,0.0597566,0.03155194,0,0,34.86506,11055.8,0,0
15,0,SmallSeedEach,1,-0.1,1,5,2,0.5,0.1,5,1,True,0.2,False,2,1000,0.001,False,5000.103,324052,582,0,166.1971,844.9738,0,9999,0,0,709.9907,5528.955,721,0,0.06562706,0.03818793,0,0,38.57276,13949.35,0,0
15,0,SmallSeedEach,1,-0.1,1,5,2,0.8,0.1,8,1,True,0.2,False,2,1000,0.001,False,5000.754,418822,626,0,129.9013,1580.357,166,0,1163.341,1580.357,712.3715,4078.082,721,0,0.124942,0.0582914,0.01478529,0.001705791,83.5452,26415.62,10.66019,886.7168
15,0,SmallSeedEach,1,-0.1,1,5,2,0.8,0.1,8,1,True,0.2,False,2,1000,0.001,False,5000.514,399281,661,0,178.4733,1352.155,212,0,1032.106,1352.155,710.9738,4846.021,721,0,0.1184502,0.05537621,0.01552755,0.003114262,77.85744,24283.19,11.19536,1618.986
15,0,SmallSeedEach,1,-0.1,1,5,2,0.8,0.1,8,1,True,0.2,False,2,1000,0.001,False,5000.168,412775,660,0,259.8352,1227.776,121,0,1027.15,1227.776,711.5355,4812.995,721,0,0.1218675,0.06508255,0.004764769,0.0005059601,80.93253,29981.04,3.435398,263.0256

